Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
41737591,02/19/2019 11:03:37 AM,10/19/2019 10:41:37 AM,DPR,Department of Parks and Recreation,Dead/Dying Tree,Planted More Than 2 Years Ago,Street,10301,150 DANIEL LOW TERRACE,DANIEL LOW TERRACE,FORT PLACE,BENZIGER AVENUE,FORT PLACE,BENZIGER AVENUE,ADDRESS,STATEN ISLAND,,,Closed,03/17/2019 10:00:02 AM,The Department of Parks and Recreation performed the work necessary to correct the condition.,10/19/2019 02:41:39 PM,01 STATEN ISLAND,5000260048,STATEN ISLAND,961938,172808,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.6409665,-74.080396,"(40.6409665, -74.080396)"
41737595,02/19/2019 03:43:00 PM,04/17/2019 04:06:00 PM,DOT,Department of Transportation,Street Light Condition,Street Light Out,,11357,163-49 24 ROAD,24 ROAD,24 RD,163 ST,24 ROAD,163 STREET,INTERSECTION,Whitestone,,N/A,Closed,,Service Request status for this request is available on the Department of Transportation?s website. Please click the ?Learn More? link below.,04/17/2019 04:06:00 PM,07 QUEENS,4048980028,QUEENS,1039369,221835,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.7753902,-73.8009908,"(40.7753902, -73.8009908)"
41737605,02/19/2019 07:28:00 AM,02/19/2019 08:00:00 AM,DEP,Department of Environmental Protection,Asbestos,Asbestos Complaint (B1),,10036,25 WEST 47 STREET,WEST 47 STREET,5 AVE,AVENUE OF THE AMERICAS,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate to another service request.,02/19/2019 08:00:00 AM,05 MANHATTAN,1012630021,MANHATTAN,989902,215110,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7571019,-73.9795989,"(40.7571019, -73.9795989)"
41737612,02/19/2019 05:31:00 PM,02/20/2019 08:39:00 AM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10013,87 LEONARD STREET,LEONARD STREET,CHURCH ST,BROADWAY,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,02/20/2019 08:39:00 AM,01 MANHATTAN,1001747504,MANHATTAN,982942,200572,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7172004,-74.0047185,"(40.7172004, -74.0047185)"
41737613,02/19/2019 03:31:00 PM,02/20/2019 09:43:00 AM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11214,1810 80 STREET,80 STREET,18 AVE,19 AVE,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,02/20/2019 09:43:00 AM,11 BROOKLYN,3062850010,BROOKLYN,984679,161606,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6102475,-73.9984549,"(40.6102475, -73.9984549)"
41737614,02/19/2019 10:24:00 AM,02/19/2019 01:42:00 PM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10472,1901 GLEASON AVENUE,GLEASON AVENUE,WHITE PLAINS RD,VIRGINIA AVE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,02/19/2019 01:42:00 PM,09 BRONX,2037680001,BRONX,1022588,241893,ONLINE,Unspecified,BRONX,,,,,,,,40.8305326,-73.8614645,"(40.8305326, -73.8614645)"
41737615,02/19/2019 05:06:00 PM,02/22/2019 11:15:00 AM,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,11211,94 AINSLIE STREET,AINSLIE STREET,UNION AVE,LORIMER ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/22/2019 11:15:00 AM,01 BROOKLYN,3027730008,BROOKLYN,997846,198837,PHONE,Unspecified,BROOKLYN,,,,,,,,40.7124279,-73.9509575,"(40.7124279, -73.9509575)"
41737616,02/19/2019 11:49:00 AM,02/20/2019 03:00:00 PM,DEP,Department of Environmental Protection,Air Quality,"Air: Dust, Construction/Demolition (AE4)",,11218,309 OCEAN PARKWAY,OCEAN PARKWAY,BEVERLEY RD,AVENUE C,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",02/20/2019 03:00:00 PM,12 BROOKLYN,3053580069,BROOKLYN,991517,173130,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6418755,-73.9738147,"(40.6418755, -73.9738147)"
41737617,02/19/2019 09:07:00 AM,02/19/2019 11:42:00 AM,DEP,Department of Environmental Protection,Hazardous Materials,"Oil Spill On Street, Large (HQL)",,10128,49 EAST 89 STREET,EAST 89 STREET,MADISON AVE,PARK AVE,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and determined that no further action is required.,02/19/2019 11:42:00 AM,08 MANHATTAN,1015017501,MANHATTAN,996132,224427,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7826685,-73.9570949,"(40.7826685, -73.9570949)"
41737618,02/19/2019 10:48:00 PM,02/20/2019 03:12:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,11223,388 AVENUE S,AVENUE S,E 1 ST,E 2 ST,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,02/20/2019 03:12:00 PM,15 BROOKLYN,3071040144,BROOKLYN,992288,158585,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6019518,-73.9710539,"(40.6019518, -73.9710539)"
41737619,02/19/2019 09:32:00 PM,02/20/2019 03:11:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10451,3055 3 AVENUE,3 AVENUE,E 156 ST,E 157 ST,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Environmental Protection determined that an inspection is not warranted to investigate this complaint at this time and sent a letter to the complainant and/or respondent.,02/20/2019 03:11:00 PM,01 BRONX,2023787501,BRONX,1008365,238194,ONLINE,Unspecified,BRONX,,,,,,,,40.8204302,-73.912873,"(40.8204302, -73.912873)"
41737620,02/19/2019 11:50:00 AM,02/19/2019 01:42:00 PM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,11374,62-31 BOELSEN CRESCENT,BOELSEN CRESCENT,ALDERTON ST,CARLTON ST,,,ADDRESS,Rego Park,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,02/19/2019 01:42:00 PM,06 QUEENS,4031240016,QUEENS,1022563,203198,ONLINE,Unspecified,QUEENS,,,,,,,,40.7243253,-73.8617755,"(40.7243253, -73.8617755)"
41737621,02/19/2019 11:35:00 AM,02/19/2019 01:42:00 PM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10474,760 HUNTS POINT AVENUE,HUNTS POINT AVENUE,FAILE ST,COSTER ST,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,02/19/2019 01:42:00 PM,02 BRONX,2027630195,BRONX,1015462,236551,ONLINE,Unspecified,BRONX,,,,,,,,40.8158984,-73.8872394,"(40.8158984, -73.8872394)"
41737622,02/19/2019 11:01:00 AM,02/19/2019 01:42:00 PM,DEP,Department of Environmental Protection,Lead,Lead Kit Request (Residential) (L10),,10461,1443 OVERING STREET,OVERING STREET,TRATMAN AVE,FRISBY AVE,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Environmental Protection investigated this complaint and created a Service Request to have a Lead Test Kit sent to the complainant.,02/19/2019 01:42:00 PM,10 BRONX,2039820035,BRONX,1027189,245434,ONLINE,Unspecified,BRONX,,,,,,,,40.8402304,-73.8448161,"(40.8402304, -73.8448161)"
41737623,01/17/2019 07:17:23 PM,02/19/2019 08:45:36 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,10457,3859 3 AVENUE,3 AVENUE,,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,02/19/2019 08:45:36 AM,03 BRONX,2029190043,BRONX,1011661,244797,PHONE,Unspecified,BRONX,,,,,,,,40.8385439,-73.9009377,"(40.8385439, -73.9009377)"
41737624,02/19/2019 08:29:00 PM,02/20/2019 11:30:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10301,131 JERSEY STREET,JERSEY STREET,RICHMOND TER,BEND,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/20/2019 11:30:00 AM,01 STATEN ISLAND,5000510001,STATEN ISLAND,960146,174002,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6442391,-74.0868573,"(40.6442391, -74.0868573)"
41737625,02/19/2019 04:56:00 PM,02/19/2019 05:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVE,78 RD,,,ADDRESS,Fresh Meadows,,N/A,Closed,,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,02/19/2019 05:00:00 PM,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,,,,,,,,40.7219591,-73.8096968,"(40.7219591, -73.8096968)"
41737626,02/19/2019 12:11:00 PM,02/19/2019 01:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,11366,78-15 PARSONS BOULEVARD,PARSONS BOULEVARD,78 AVE,78 RD,,,ADDRESS,Fresh Meadows,,N/A,Closed,,The Department of Environmental Protection closed or canceled this complaint at the complainant's request.,02/19/2019 01:00:00 PM,08 QUEENS,4068290001,QUEENS,1037000,202363,ONLINE,Unspecified,QUEENS,,,,,,,,40.7219591,-73.8096968,"(40.7219591, -73.8096968)"
41737627,02/15/2019 09:20:56 AM,02/19/2019 09:17:04 AM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11215,294 5 AVENUE,5 AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development contacted an occupant of the apartment and verified that the following conditions were corrected. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 09:17:04 AM,06 BROOKLYN,3009690041,BROOKLYN,989099,184734,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6737275,-73.9825192,"(40.6737275, -73.9825192)"
41737628,02/19/2019 04:33:28 PM,02/19/2019 05:37:10 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,11213,712 CROWN STREET,CROWN STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection. More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,02/19/2019 05:37:10 PM,09 BROOKLYN,3014190006,BROOKLYN,1002613,181687,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6653465,-73.9338091,"(40.6653465, -73.9338091)"
41737629,02/16/2019 09:04:05 PM,02/19/2019 05:28:54 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10032,523 WEST 156 STREET,WEST 156 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection. More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,02/19/2019 05:28:54 PM,12 MANHATTAN,1021150047,MANHATTAN,999905,242636,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.8326412,-73.9434284,"(40.8326412, -73.9434284)"
41737630,01/29/2019 10:11:39 AM,02/19/2019 02:06:19 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10472,1200 CROES AVENUE,CROES AVENUE,,,,,ADDRESS,BRONX,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/19/2019 02:06:19 AM,09 BRONX,2037490001,BRONX,1020050,241511,PHONE,Unspecified,BRONX,,,,,,,,40.8294948,-73.8706377,"(40.8294948, -73.8706377)"
41737631,01/28/2019 02:31:12 PM,02/19/2019 09:26:59 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11230,964 EAST 15 STREET,EAST 15 STREET,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/19/2019 09:26:59 AM,14 BROOKLYN,3067070033,BROOKLYN,994914,167391,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6261197,-73.9615834,"(40.6261197, -73.9615834)"
41737632,01/24/2019 10:21:14 AM,02/19/2019 08:29:53 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10460,793 FAIRMOUNT PLACE,FAIRMOUNT PLACE,,,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:53 AM,06 BRONX,2029550044,BRONX,1014921,246339,PHONE,Unspecified,BRONX,,,,,,,,40.8427655,-73.8891491,"(40.8427655, -73.8891491)"
41737633,01/23/2019 03:22:57 PM,02/19/2019 08:29:33 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,10128,235 EAST 96 STREET,EAST 96 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:33 AM,11 MANHATTAN,1016467501,MANHATTAN,998616,225165,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7846904,-73.9481238,"(40.7846904, -73.9481238)"
41737634,11/29/2018 03:33:47 AM,02/19/2019 08:29:25 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10030,2304 ADAM C POWELL BOULEVARD,ADAM C POWELL BOULEVARD,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:25 AM,10 MANHATTAN,1019410031,MANHATTAN,999873,236396,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8155143,-73.9435586,"(40.8155143, -73.9435586)"
41737635,01/29/2019 10:23:33 PM,02/19/2019 08:29:38 AM,HPD,Department of Housing Preservation and Development,UNSANITARY CONDITION,GARBAGE/RECYCLING STORAGE,RESIDENTIAL BUILDING,10014,14 GAY STREET,GAY STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:38 AM,02 MANHATTAN,1005930048,MANHATTAN,984119,206536,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.7335702,-74.0004727,"(40.7335702, -74.0004727)"
41737637,01/31/2019 10:28:58 AM,02/19/2019 08:29:40 AM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10128,1575 3 AVENUE,3 AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:40 AM,08 MANHATTAN,1015340004,MANHATTAN,997317,223603,PHONE,Unspecified,MANHATTAN,,,,,,,,40.7804051,-73.9528176,"(40.7804051, -73.9528176)"
41737638,01/23/2019 08:21:34 PM,02/19/2019 03:08:39 PM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,11433,173-17 106 AVENUE,106 AVENUE,,,,,ADDRESS,Jamaica,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. Violations were issued. Information about specific violations is available at www.nyc.gov/hpd.,02/19/2019 03:08:39 PM,12 QUEENS,4102350366,QUEENS,1044521,195204,ONLINE,Unspecified,QUEENS,,,,,,,,40.7022614,-73.7826279,"(40.7022614, -73.7826279)"
41737639,02/19/2019 02:18:00 PM,02/20/2019 11:24:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10301,131 JERSEY STREET,JERSEY STREET,RICHMOND TER,BEND,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,The Department of Environmental Protection determined that this complaint is a duplicate of a previously filed complaint. The original complaint is being addressed.,02/20/2019 11:24:00 AM,01 STATEN ISLAND,5000510001,STATEN ISLAND,960146,174002,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.6442391,-74.0868573,"(40.6442391, -74.0868573)"
41737640,01/28/2019 01:39:46 PM,02/19/2019 08:59:18 AM,HPD,Department of Housing Preservation and Development,SAFETY,FIRE ESCAPE,RESIDENTIAL BUILDING,11221,57 RALPH AVENUE,RALPH AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection. More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,02/19/2019 08:59:18 AM,03 BROOKLYN,3014810009,BROOKLYN,1005382,190101,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6884348,-73.9238017,"(40.6884348, -73.9238017)"
41737641,01/12/2019 11:11:55 PM,02/19/2019 08:30:56 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,NO LIGHTING,RESIDENTIAL BUILDING,10302,1634 CASTLETON AVENUE,CASTLETON AVENUE,,,,,ADDRESS,STATEN ISLAND,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:30:56 AM,01 STATEN ISLAND,5010950026,STATEN ISLAND,945960,171056,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.636103,-74.1379589,"(40.636103, -74.1379589)"
41737642,01/22/2019 02:29:17 PM,02/19/2019 08:30:14 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,OUTLET/SWITCH,RESIDENTIAL BUILDING,11233,214 ROCKAWAY AVENUE,ROCKAWAY AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:30:14 AM,16 BROOKLYN,3014340001,BROOKLYN,1008937,185467,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6757064,-73.9109999,"(40.6757064, -73.9109999)"
41737643,01/31/2019 03:15:06 PM,02/19/2019 08:30:29 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,DOOR,RESIDENTIAL BUILDING,11237,1501 DE KALB AVENUE,DE KALB AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:30:29 AM,04 BROOKLYN,3032360049,BROOKLYN,1005953,194965,PHONE,Unspecified,BROOKLYN,,,,,,,,40.701784,-73.9217271,"(40.701784, -73.9217271)"
41737644,01/24/2019 08:03:49 AM,02/19/2019 08:29:34 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,10040,366 WADSWORTH AVENUE,WADSWORTH AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:34 AM,12 MANHATTAN,1021700268,MANHATTAN,1003573,251284,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8563702,-73.9301487,"(40.8563702, -73.9301487)"
41737646,01/31/2019 12:48:31 PM,02/19/2019 08:29:40 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,CEILING,RESIDENTIAL BUILDING,10035,1775 MADISON AVENUE,MADISON AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:40 AM,11 MANHATTAN,1016220053,MANHATTAN,999612,230900,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8004297,-73.9445141,"(40.8004297, -73.9445141)"
41737647,02/01/2019 03:16:22 PM,02/19/2019 08:30:34 AM,HPD,Department of Housing Preservation and Development,DOOR/WINDOW,WINDOW FRAME,RESIDENTIAL BUILDING,11210,4221 AVENUE J,AVENUE J,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:30:34 AM,18 BROOKLYN,3077680002,BROOKLYN,1002216,167977,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6277163,-73.9352767,"(40.6277163, -73.9352767)"
41737648,01/30/2019 08:42:44 AM,02/19/2019 09:20:41 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,POWER OUTAGE,RESIDENTIAL BUILDING,10027,436 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection. More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,02/19/2019 09:20:41 AM,10 MANHATTAN,1019580052,MANHATTAN,998321,236119,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8147566,-73.9491661,"(40.8147566, -73.9491661)"
41737649,01/18/2019 12:54:25 PM,02/19/2019 08:29:52 AM,HPD,Department of Housing Preservation and Development,FLOORING/STAIRS,FLOOR,RESIDENTIAL BUILDING,10460,806 EAST 175 STREET,EAST 175 STREET,,,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:52 AM,06 BRONX,2029520046,BRONX,1014579,245706,PHONE,Unspecified,BRONX,,,,,,,,40.8410293,-73.890388,"(40.8410293, -73.890388)"
41737650,02/15/2019 11:01:01 AM,02/19/2019 04:26:06 PM,HPD,Department of Housing Preservation and Development,HEAT/HOT WATER,APARTMENT ONLY,RESIDENTIAL BUILDING,10035,1661 PARK AVENUE,PARK AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,"The Department of Housing Preservation and Development responded to a complaint of no heat or hot water and was advised by a tenant in the building that heat and hot water had been restored. If the condition still exists, please file a new complaint.",02/19/2019 04:26:06 PM,11 MANHATTAN,1016450001,MANHATTAN,1000145,230801,PHONE,Unspecified,MANHATTAN,,,,,,,,40.8001571,-73.9425892,"(40.8001571, -73.9425892)"
41737651,01/31/2019 08:50:10 PM,02/19/2019 03:56:39 PM,HPD,Department of Housing Preservation and Development,ELEVATOR,MAINTENANCE,RESIDENTIAL BUILDING,10037,53 EAST 131 STREET,EAST 131 STREET,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,02/19/2019 03:56:39 PM,11 MANHATTAN,1017560030,MANHATTAN,1001583,234144,PHONE,Unspecified,MANHATTAN,,,,,,,,40.80933,-73.9373867,"(40.80933, -73.9373867)"
41737652,01/18/2019 12:54:25 PM,02/19/2019 08:29:51 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,10460,806 EAST 175 STREET,EAST 175 STREET,,,,,ADDRESS,BRONX,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:29:51 AM,06 BRONX,2029520046,BRONX,1014579,245706,PHONE,Unspecified,BRONX,,,,,,,,40.8410293,-73.890388,"(40.8410293, -73.890388)"
41737653,02/01/2019 03:59:06 PM,02/19/2019 08:30:35 AM,HPD,Department of Housing Preservation and Development,PAINT/PLASTER,WALL,RESIDENTIAL BUILDING,11226,806 OCEAN AVENUE,OCEAN AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:30:35 AM,14 BROOKLYN,3051620016,BROOKLYN,995449,173479,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.6428293,-73.9596459,"(40.6428293, -73.9596459)"
41737654,02/01/2019 10:33:09 AM,02/19/2019 08:30:31 AM,HPD,Department of Housing Preservation and Development,PLUMBING,BATHTUB/SHOWER,RESIDENTIAL BUILDING,11208,765 LINCOLN AVENUE,LINCOLN AVENUE,,,,,ADDRESS,BROOKLYN,,N/A,Closed,,"The Department of Housing Preservation and Development was not able to gain access to inspect the following conditions. The complaint has been closed. If the condition still exists, please file a new complaint.",02/19/2019 08:30:31 AM,05 BROOKLYN,3042719001,BROOKLYN,1021463,183506,PHONE,Unspecified,BROOKLYN,,,,,,,,40.6702801,-73.8658529,"(40.6702801, -73.8658529)"
41737655,01/30/2019 08:45:51 AM,02/19/2019 09:20:41 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER SUPPLY,RESIDENTIAL BUILDING,10027,436 ST NICHOLAS AVENUE,ST NICHOLAS AVENUE,,,,,ADDRESS,NEW YORK,,N/A,Closed,,The Department of Housing Preservation and Development conducted or attempted to conduct an inspection. More information about inspection results can be found through HPD's website at www.nyc.gov/hpd by using HPDONLINE (enter your address on the home page) and entering your SR number under the complaint status option.,02/19/2019 09:20:41 AM,10 MANHATTAN,1019580052,MANHATTAN,998321,236119,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.8147566,-73.9491661,"(40.8147566, -73.9491661)"
